time_s,iso_time,setpoint,rpm,control_pct
10.147716,2025-10-24T15:32:57.052395,0.000000,57.290000,0.000000
10.153296,2025-10-24T15:32:57.057975,0.000000,55.940000,0.000000
10.158690,2025-10-24T15:32:57.063369,0.000000,55.620000,0.000000
10.299663,2025-10-24T15:32:57.204342,0.000000,55.000000,0.000000
10.304884,2025-10-24T15:32:57.209563,0.000000,54.170000,0.000000
10.309555,2025-10-24T15:32:57.214234,0.000000,53.020000,0.000000
10.316121,2025-10-24T15:32:57.220799,0.000000,52.290000,0.000000
10.323675,2025-10-24T15:32:57.228354,0.000000,51.460000,0.000000
10.328449,2025-10-24T15:32:57.233127,0.000000,50.730000,0.000000
10.334461,2025-10-24T15:32:57.239140,0.000000,49.480000,0.000000
10.342925,2025-10-24T15:32:57.247603,0.000000,48.750000,0.000000
10.351641,2025-10-24T15:32:57.256320,0.000000,48.650000,0.000000
10.359380,2025-10-24T15:32:57.264058,0.000000,47.920000,0.000000
10.364456,2025-10-24T15:32:57.269135,0.000000,46.670000,0.000000
10.369022,2025-10-24T15:32:57.273701,0.000000,46.040000,0.000000
10.376433,2025-10-24T15:32:57.281111,0.000000,45.830000,0.000000
10.381407,2025-10-24T15:32:57.286086,0.000000,45.100000,0.000000
10.386007,2025-10-24T15:32:57.290685,0.000000,44.370000,0.000000
10.391754,2025-10-24T15:32:57.296432,0.000000,43.230000,0.000000
10.397890,2025-10-24T15:32:57.302569,0.000000,43.120000,0.000000
10.402926,2025-10-24T15:32:57.307605,0.000000,42.400000,0.000000
10.407946,2025-10-24T15:32:57.312625,0.000000,41.670000,0.000000
10.413993,2025-10-24T15:32:57.318672,0.000000,40.620000,0.000000
10.419677,2025-10-24T15:32:57.324355,0.000000,40.420000,0.000000
10.425624,2025-10-24T15:32:57.330303,0.000000,39.690000,0.000000
10.430485,2025-10-24T15:32:57.335164,0.000000,38.960000,0.000000
10.435450,2025-10-24T15:32:57.340129,0.000000,38.020000,0.000000
10.441390,2025-10-24T15:32:57.346068,0.000000,37.290000,0.000000
10.446234,2025-10-24T15:32:57.350913,0.000000,37.080000,0.000000
10.450816,2025-10-24T15:32:57.355494,0.000000,36.350000,0.000000
10.457885,2025-10-24T15:32:57.362564,0.000000,35.730000,0.000000
10.462697,2025-10-24T15:32:57.367376,0.000000,35.000000,0.000000
10.467362,2025-10-24T15:32:57.372041,0.000000,34.900000,0.000000
10.474911,2025-10-24T15:32:57.379590,0.000000,34.170000,0.000000
10.485435,2025-10-24T15:32:57.390114,0.000000,33.540000,0.000000
10.629735,2025-10-24T15:32:57.534414,0.000000,32.600000,0.000000
10.635121,2025-10-24T15:32:57.539800,0.000000,32.190000,0.000000
10.640738,2025-10-24T15:32:57.545417,0.000000,31.670000,0.000000
10.645905,2025-10-24T15:32:57.550583,0.000000,30.940000,0.000000
10.650915,2025-10-24T15:32:57.555593,0.000000,30.100000,0.000000
10.658466,2025-10-24T15:32:57.563145,0.000000,29.480000,0.000000
10.664060,2025-10-24T15:32:57.568738,0.000000,28.850000,0.000000
10.669551,2025-10-24T15:32:57.574229,0.000000,28.120000,0.000000
10.675328,2025-10-24T15:32:57.580007,0.000000,27.290000,0.000000
10.680997,2025-10-24T15:32:57.585676,0.000000,26.670000,0.000000
10.685743,2025-10-24T15:32:57.590422,0.000000,26.350000,0.000000
10.691047,2025-10-24T15:32:57.595726,0.000000,25.830000,0.000000
10.695860,2025-10-24T15:32:57.600539,0.000000,25.210000,0.000000
10.700355,2025-10-24T15:32:57.605033,0.000000,24.690000,0.000000
10.705432,2025-10-24T15:32:57.610111,0.000000,24.170000,0.000000
10.710348,2025-10-24T15:32:57.615027,0.000000,23.650000,0.000000
10.714835,2025-10-24T15:32:57.619514,0.000000,23.120000,0.000000
10.719558,2025-10-24T15:32:57.624236,0.000000,22.290000,0.000000
10.724757,2025-10-24T15:32:57.629436,0.000000,21.980000,0.000000
10.729281,2025-10-24T15:32:57.633960,0.000000,21.350000,0.000000
10.734233,2025-10-24T15:32:57.638912,0.000000,20.830000,0.000000
10.740284,2025-10-24T15:32:57.644963,0.000000,20.000000,0.000000
10.744988,2025-10-24T15:32:57.649667,0.000000,19.480000,0.000000
10.749529,2025-10-24T15:32:57.654208,0.000000,18.850000,0.000000
10.755049,2025-10-24T15:32:57.659728,0.000000,18.330000,0.000000
10.761952,2025-10-24T15:32:57.666631,0.000000,17.600000,0.000000
10.768012,2025-10-24T15:32:57.672690,0.000000,17.080000,0.000000
10.774112,2025-10-24T15:32:57.678791,0.000000,16.770000,0.000000
10.778843,2025-10-24T15:32:57.683522,0.000000,16.150000,0.000000
10.783534,2025-10-24T15:32:57.688213,0.000000,15.520000,0.000000
10.789658,2025-10-24T15:32:57.694336,0.000000,14.900000,0.392157
